repo_name,language,description
ADBench,C++,Benchmarking various AD tools.
adcs-proxy-exit-module,C++,Exit Module for Active Directory Certificate Services that proxies calls to external programs.
AddingSpeechToBots,C#,Adding Speech to Conversational Bots
AddOutlookJapanHoliday,VBScript,VBScript for adding Japan new Holidays to Outlook.
Addressing-signal-delay-in-deep-RL,Python,Addressing Signal Delay in Deep Reinforcement Learning
adfs-sample-block-user-on-adfs-marked-risky-by-AzureAD-IdentityProtection,C#,A sample AD FS 2019 Risk Assessment Model plug-in that blocks authentication or enforces MFA based on user risk level determined by Azure AD Identity Protection. 
adfs-sample-msal-dotnet-native-to-webapi,C#,A sample showcasing how to build a native app signing-in users authenticated by AD FS 2019 and acquiring tokens using MSAL library to call Web API.
adfs-sample-msal-dotnet-webapi-to-webapi-onbehalfof,C#,A sample showcasing how to implement an on-behalf-of (OBO) authentication using AD FS. The sample uses MSAL client library to obtain a token for accessing Web API. 
adfs-sample-RiskAssessmentModel-RiskyIPBlock,C#,Sample plug-in to block authentication requests coming from specified extranet IPs. 
adfsAuthAdapters,C#,External authentication adapters for AD FS
adfsLogTools,,"Tools for parsing AD FS logs (admin events, audits, and debug logs)"
adfsManagementTools,,A collection of scripts and tools for managing ADFS
adfsOpenSource,,Documentation and guidance for ADFS Open Source
adfsToolbox,PowerShell,A collection of PowerShell scripts for managing AD FS
adfsUITesting,C#,Testing infrastructure for automated browser testing against AD FS
adfsWebCustomization,JavaScript,A repository of useful Web Customizations for Active Directory Federation Services 
ADLaM-Display,Makefile,"A display font for the ADLaM script, which is an indigenous writing system for some West African languages."
adme-samples,HTML,
admin-torch,Python,Understanding the Difficulty of Training Transformers
ado-codespaces-auth,TypeScript,
ado-ml-batch-train,Jupyter Notebook,
ado-npm-auth,TypeScript,This package can automatically use the azureauth CLI to fetch tokens and update a user's .npmrc file for authenticating to Azure DevOps npm feeds.
ads-extension-telemetry,TypeScript,
ads-kerberos,C++,A package for providing kerberos authentication support in Azure Data Studio. 
ads-service-downloader,TypeScript,Service downloader
ADU,PowerShell,Appliance Diagnostic Utility (ADU) for Analytics Platform System (APS)
advanced-formula-environment,,"Create, edit, and reuse formulas in Excel"
advanced-github-copilot,,Advanced techniques and patterns to use GitHub Copilot in challenging codebases
Advanced-Threat-Analytics,PowerShell,ATA PowerShell Module
advancedsecurity,,
AdventureWorksSkiApp,C#,The AdventureWorks Ski App provides a sample application that can be used to demonstrate the value of building in intelligence into an existing application. This app was first demoed at //build 2016.
Adversarial-Chatter,Jupyter Notebook,
AdversarialGMM,Python,Minimax Estimation of Conditional Moment Models
advNLG,Python,
AdvocacyPlatform,C#,"The Advocacy Platform is a cloud solution to automate the acquisition of case decisions, court hearings and location information from the EOIR hotline. Additionally, this solution helps NGOs working with Asylum seeker families at risk of deportation to allocate legal professionals/volunteers more efficiently."
adx-automotive-demos,Python,Demos 
adx-query-charts,TypeScript,Draw charts from Azure Data Explorer queries
AEC-Challenge,,AEC Challenge
aed-blockchain-learn-content,,Beta content for blockchain Learn modules
aed-content-nasa-su20,Jupyter Notebook,This is the beta content for the learn modules that we are creating for NASA for 2020 internship
aed-external-learn-template,,Template for creating Learn modules and Learning Paths
aed-go-learn-content,,
aed-learn-template,,
aed-rust-learn-content,,Rust learning path content development repo.
aed-wonder-woman,Python,
aerial_wildlife_detection,Python,Tools for detecting wildlife in aerial images using active learning
affectbased,Python,Affect-based Intrinsic Rewards for Learning General Representations: https://arxiv.org/abs/1912.00403
AFUN-Demos,HTML,Demos for AFUN content for Microsoft Ignite the Tour content 
agdebugger,TypeScript,
agdiag,C#,"Diagnose AlwaysOn health events like failover events, and failure to failover events"
agent-academy,PowerShell,Curated lessons on getting started building agents with Copilot Studio
Agent-Christine,,Build your own agent for Marketplace assistance
Agent-for-Contract-Processing-Solution-Accelerator,,"Solution Accelerator to show how to deploy an Agent configured in Copilot Studio to streamline NDA document creation, management and signing."
agent-for-hr-service-solution-accelerator,HTML,"This solution streamlines HR service workflows with an AI-powered assistant that delivers instant answers, automates record updates, and provides intelligent support, saving time and elevating the employee experience."
agent-for-rfp-response-solution-accelerator,,
agent-forge,TypeScript,"AGENT-FORGE is a Context Engineering Toolkit that generates GitHub Copilot customization files for your VS Code project. Instead of manually authoring .github/ configuration, you describe what you need and a multi-agent AI pipeline plans, generates, validates, and installs everything."
agent-framework,Python,"A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET."
Agent-Framework-Samples,Jupyter Notebook,Agent Framework Samples  - showcasing ways in which agent framework can be utilized.
agent-governance-toolkit,Python,"AI Agent Governance Toolkit — Policy enforcement, zero-trust identity, execution sandboxing, and reliability engineering for autonomous AI agents. Covers 10/10 OWASP Agentic Top 10."
agent-lightning,Python,The absolute trainer to light up AI agents.
agent-resources,HTML,Resources to help enterprises turn into frontier firms through agentic transformation
agent-sessions-day,,A repo holding any content for Agent Sessions Day
Agent365-devTools,C#,"The Microsoft Agent 365 DevTools CLI is a command-line interface tool designed to streamline the development, deployment, and management of Microsoft Agent 365 applications."
Agent365-dotnet,C#,
Agent365-nodejs,TypeScript,
Agent365-python,Python,
Agent365-Python-AI-First,Python,
agent365-resources,HTML,Resources for Microsoft Agent 365
Agent365-Samples,Python,
AgentAsJudge,Python,An agentic evaluation framework
agenthonseoul2025,SCSS,
agentic-ai-lab,Jupyter Notebook,Azure AI Foundry & Agents Workshop
agentic-ai-lab-dotnet,Jupyter Notebook,End-to-End Azure AI Foundry And Agents Development Laboratory
agentic-applications-for-unified-data-foundation-solution-accelerator,TSQL,"This accelerator unifies enterprise data with Microsoft Fabric and applies agentic AI to enable faster, smarter decisions. With Microsoft Foundry agents and the Microsoft Agent Framework orchestration, teams can automate workflows, query data in natural language, and uncover insights that fuel agility, collaboration, and innovation."
agentic-devops-sample,,agentic devops sample
agentic-factory-hack,Python,"Build AI-powered predictive maintenance orchestration with Microsoft Foundry, multi-agent workflows, and MCP"
agentic-sdlc-starter,Shell," Reference architecture for spec-driven, AI-assisted software development using GitHub Copilot, MCP, and repo-based context engineering."
AgenticCookBook,Python,The “Agentic Cookbook for Generative AI Agent usage” is a comprehensive guide designed to empower users with the knowledge and tools to effectively implement and utilize Generative AI Agents within their workflows.
agentrc,TypeScript,Get your repo ready for AI.
agentrl,Python,
AgentRx,Python,
Agents,PowerShell,"The Microsoft 365 Agent SDK simplifies building full stack, multichannel, trusted agents for platforms including M365, Teams, Copilot Studio, and Webchat."
Agents-for-Enhanced-Customer-Care-Solution-Accelerator,,Solution Accelerator to show how to deploy an Agent configured in a voice channel to streamline contact center operations.
Agents-for-js,TypeScript,This repository is for active development of the Microsoft 365 Agent SDK components for JavaScript
Agents-for-net,C#,This repository is for active development of the Microsoft 365 Agent SDK components for .NET
Agents-for-python,Python,This repository is for active development of the Microsoft 365 Agent SDK components for Python
agents-humanoversight,Python,Human Oversight for Autonomous AI Agents using Azure Logic Apps + Python
Agents-M365Copilot,C#,Microsoft 365 Copilot APIs Client Libraries
AgentSchema,TypeScript,Declarative Agent Schema
AgentsClientSDK.Android,,Agents ClientSDK Android repository for Sample apps and releases
AgentsClientSDK.iOS,,Agents ClientSDK iOS repository for Sample apps and releases
AgentsClientSDK.Windows,C#,Agents ClientSDK Windows repository for Sample apps and releases
agentsleague,,"A high-energy developer challenge that brings an e-sports twist to agentic AI with live AI Battles,  asynchronous community challenges, GitHub-based submissions and more!"
agentsleague-techconnect,Python,"Agents League is a fast-paced internal developer challenge with an e-sports mindset, centered around on-site AI battles. Teams build, adapt, and compete in real time, solving agentic AI challenges and submit their projects to win prizes."
AGIC-Installer-assistant,PowerShell,This is a PowerShell script that will guide you through the installation of the AGIC controller for AKS (Brownfield deployment only)
agogosml,Python,agogosml is a flexible data processing pipeline that addresses the common need for operationalizing ML models at scale
ahds-inferno,Ruby,Inferno test suite for Azure Health Data Services FHIR service.
AHS-AppServiceDotNet,JavaScript,Code for SmartHotel 360 Registration app for the AHS
AI,Python,Microsoft AI
ai-agent-eval-scenario-library,,
ai-agent-evals,Python,"Github action to evaluate AI agent applications using model as the judge, content safety and mathematical metrics."
ai-agents-for-beginners,Jupyter Notebook,12 Lessons to Get Started Building AI Agents
ai-at-edge,,Web pages for AI@Edge community
ai-audio-descriptions,TypeScript,
AI-Chat-App-Hack,,"HackTogether: The Microsoft Python Chatbot Hack | Register, Hack, Win"
ai-chat-protocol,TypeScript,A library + API spec for easily streaming generative AI output to your chat applications.
ai-dev-gallery,C#,An open-source project for Windows developers to learn how to add AI with local models and APIs to Windows apps.
ai-developer,TypeScript,This repository contains hackathon challenges for Semantic Kernel.
AI-Developer-Plugin-for-Eclipse,,AI Developer Plugin for Eclipse
ai-discovery-agent,Python,AIDA the AI Discovery Agent and Workshop Facilitator
ai-edu,HTML,"AI education materials for Chinese students, teachers and IT professionals."
AI-For-Beginners,Jupyter Notebook,"12 Weeks, 24 Lessons, AI for All!"
AI-for-Operations-Framework,Python,The purpose of this repository is to provide useful tools for the deployment of an Azure Landing Zone AI ready PoC for Operational purpose with some ready-to-use tools
ai-for-startups-lab,,Workshop for the BASES Challenge at Stanford
ai-freezer-azure,C#,Anomaly detecting scientific freezer monitor using and Adafruit Feather Huzzah32 and Azure Cognitive Services.
ai-freezer-monitor,Jupyter Notebook,ESP32 Temperature monitor designed to work in ULT freezers.
ai-gallery-extension,TypeScript,
AI-Immersion-Workshop,Jupyter Notebook,"Workshop materials from the AI Immersion Workshop, for attendees to access and use"
ai-in-fabric-ai-tour-demos-fy26,,
AI-in-One-Dashboard,PowerShell,AI-in-One Dashboard Power BI template for comprehensive AI usage analytics
AI-in-One-Dashboard-Extended,PowerShell,"Extended AI-in-One Dashboard with Copilot credit consumption, product feedback, and Copilot Studio transcript analytics"
ai-notebooks,Jupyter Notebook,
AI-Pex-for-SDC,,This repository is for Project 'AI-Pex' in Microsoft EPS Asia ISV PSA team. Some guidance and sample codes are provided to build AI SaaS solution in this repository.
ai-powered-notes-winui3-sample,C#,
ai-py-param-validation,Python,Parameter Validation for Python method and function inputs.
AI-Red-Teaming-Playground-Labs,TypeScript,AI Red Teaming playground labs to run AI Red Teaming trainings including infrastructure.
AI-Robot-Challenge-Lab,Python,AI Robot Challenge Lab
ai-school-custom-vision-service-intro,C#,This is an introduction to how to get started using the Custom Vision Service to generate custom models using the web interface and the SDK.
ai-sentry,Python,"AI-Sentry: A lightweight, pluggable facade layer for Azure Open AI, addressing common cross-cutting concerns for enterprise-wide scaling."
AI-System,Python,System for AI Education Resource.
ai-tour-26-zava-diy-dataset-plus-mcp,Python,
ai-utilities,Jupyter Notebook,SAMPLE: Microsoft AI Azure Machine Learning Utilities and Wrappers.
ai.ed,TypeScript,AI for (programming) EDucation
AI2BMD,Python,AI-powered ab initio biomolecular dynamics simulation
ai4eutils,Jupyter Notebook,Shared utility scripts for AI for Earth projects and team members
AI4FluidSimulations,C++,Train large-scale surrogate models for CO2 flow in porous media or for solving the 3D Navier Stokes Equation.
ai4g-flood,HTML,Toolkit for using Microsoft AI for Good team's flood detection model with SAR imagery
ai4s-jobq,Python,"Enables multiple users to push work items to an Azure Queue, while one or more workers pull and process tasks asynchronously."
AIandJS,,
aibast-agents-library,HTML,Main repository for AI BAST Specialist Teal AI Agents Library
aibuilder-labs,,Step-by-step labs for AI Builder & AI prompt use cases
AICentral,C#,"An AI Control Centre for monitoring, authenticating, and providing resilient access to multiple Open AI services. "
aici,Rust,AICI: Prompts as (Wasm) Programs
aicreator,Python,aicreator for aidata
AIDocIntelligence,Python,"AI Document Intelligence is an AI service that applies advanced machine learning to extract text, key-value pairs, tables, and structures from documents automatically and accurately"
AIFluency,,
AIForAccessibility-Samples,JavaScript,"Microsoft's repo for AI for Accessibility prototypes, demos and code samples"
AIforEarth-API-Development,Jupyter Notebook,This is an API Framework for AI models to be hosted locally or on the AI for Earth API Platform (https://github.com/microsoft/AIforEarth-API-Platform).
AIforEarth-API-Platform,Shell,"The AI for Earth API Platform is a distributed infrastructure designed to provide a secure, scalable, and customizable API hosting, designed to handle the needs of long-running/asynchronous machine learning model inference. It is to be used with the AI For Earth API Framework (https://github.com/microsoft/AIforEarth-API-Development)."
AIforEarthDataSets,Jupyter Notebook,Notebooks and documentation for AI-for-Earth-managed datasets on Azure
AIforITOps,C#,Workshop for IT/Ops teams to learn how to manage AI-enabled applications on Microsoft Azure.
aifundamentalbootcamp,Jupyter Notebook,Get Hands-On with AI Apps in the App Innovation Fundamental Bootcamp
aihlsIgnited,,AI-driven solutions for Health & Life Sciences with Azure !
aiida-autocas,Python,AiiDA plugin to perform automatic selection of active spaces for multireference calculations.
aiida-dynamic-workflows,Python,An AiiDA plugin for dynamically defining workflows using Python functions
aiida-nwchemex,Python,AiiDA plugin for NWChemEx
aiida-pyscf,Python,AiiDA plugin for the Python-based Simulations of Chemistry Framework (PySCF)
AIInstitute,HTML,Repository for managing the AI Institute
ailab,C#,"Experience, Learn and Code the latest breakthrough innovations with Microsoft AI"
AImagery,ShaderLab,
AIMFGIgnited,JavaScript,"AI MFG Ignited is a Microsoft-hosted webinar series and sample code repository showcasing real-world Azure AI solutions for the manufacturing industry. Explore hands-on assets, demos, and session materials designed to accelerate AI adoption."
AIOpsLab,Python,"A holistic framework to enable the design, development, and evaluation of autonomous AIOps agents."
aip,,
AirbandData,,
AIReferenceArchitectures,,Official Azure Reference Architectures for AI workloads 
airflow-providers-microsoft-fabric,Python,Repository containing the source code for the Microsoft Fabric provider for Airflow. 
AirSim,C++,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research"
AirSim-Drone-Racing-Lab,Python,"A framework for drone racing research, built on Microsoft AirSim."
AirSim-Drone-Racing-Lab-Source,C++,AirSim source + Envs behind https://github.com/microsoft/AirSim-Drone-Racing-Lab 
AirSim-Drone-Racing-VAE-Imitation,Python,"Code associated with our paper ""Learning Visuomotor Policies for Aerial Navigation Using Cross-Modal Representations"": https://arxiv.org/abs/1909.06993"
AirSim-NeurIPS2019-Drone-Racing,Python,"Drone Racing @ NeurIPS 2019, built on Microsoft AirSim"
AISchoolTutorials,C#,This repository contains the developer tutorials and samples to demonstrate how to create the experiments contained on AI Lab.
aisdkforsapabap,ABAP,AI SDK for SAP ABAP
AISkillsForWindows,,Contains samples for implementing Windows Skills by extending the preview base API and using exsting skill packages
aitk-vscode-copilot-chat,,Copilot Chat extension for VS Code and aitk
aitour-advanced-coding-visual-studio-and-github-copilot,C#,
aitour-ai-agents-theater-session,HTML,Resources and content for a 15-minute theater-style talk on the Azure AI Agent Service
aitour-ai-and-low-code-innovation,,
aitour-ai-apps-with-scalable-database,Jupyter Notebook,
aitour-ai-readiness-with-azure,,
aitour-azure-openai-assistants,Python,
aitour-blueprint-to-transform-business,,
aitour-build-a-copilot-on-azure-ai,,"Workshop ""Build a Retail Copilot Code-First on Azure AI"": attendee and presenter resources."
aitour-build-your-first-agent-with-azure-ai-agent-service,,AI Tour Build Your First Agent with Azure AI Agent Service
aitour-building-copilots-with-copilot-studio,C#,
aitour-buisness-impact-of-intelligent-apps,,
aitour-cloud-native-apps-with-azure-ai-and-aks,HCL,
aitour-concept-to-creation-ai-studio,Jupyter Notebook,
aitour-copilot-implementation-essentials,,
aitour-copilot-security-practices,,
aitour-copilot-studio-agents-and-experiences,,
aitour-customizing-microsoft-copilot,TypeScript,
aitour-customizing-trustworthy-gen-ai-systems-with-azure-open-ai,,
aitour-data-analytics-for-ai-innovation,,
aitour-data-security-for-ai,,
aitour-e2e-dev-with-prompty-and-ai-studio,Python,
aitour-ecommerce-app-with-ai,C#,
aitour-eshop-api,C#,An e-commerce API in .NET
aitour-Essential-Prompting-for-GitHub-Copilot-in-VS-Code,JavaScript,
aitour-Essential-Prompting-for-GitHub-Copilot-in-VS-Code-v2,,Containing speaker resources for a talk called BRK431 for AI Tour
aitour-exploring-cutting-edge-models,C++,
aitour-generative-ai-in-azure,Shell,
aitour-get-started-with-fabric,,
aitour-getting-started-with-ai-agents,Jupyter Notebook,
aitour-github-advanced-security-workflow,JavaScript,
aitour-interact-with-llms,,
aitour-leveraging-ai-for-infrastructure-management,Dockerfile,
aitour-llmops-with-gen-ai-tools,,AI Tour 2025 BRK451 Code-First LLMOps from Prototype to Production with GenAI Tools
aitour-models-as-a-service-15-minute-theatre-talk,Python,This the models as a service 15 minute theatre talk
aitour-modern-security-with-copilot,,
aitour-operate-ai-responsibly-with-ai-studio,Jupyter Notebook,
aitour-opimizing-your-ai-costs,PostScript,
aitour-preparing-for-ai-workloads,,
aitour-rag-with-ai-search,,
aitour-reimagine-fabric-intelligence,,
aitour-repo-principal-list,,
aitour-secure-future-in-ai-age,,
aitour-securing-ai-apps-on-azure,,
aitour-unlock-value-with-copilot,,
aitour-whats-new-with-fabric,,
aitour-windows-theater,C#,
aitour-writing-assistant-with-azure-openai,,"Attendee and presenter resources for the workshop ""Build a multi-tasking assistant with Azure OpenAI""."
aitour26-BRK422-deploy-and-manage-agents-securely-at-scale-with-the-copilot-control-system,,
aitour26-BRK431-advanced-agent-development-with-copilot-studio,PowerShell,
aitour26-BRK441-Build-and-launch-AI-agents-fast-with-Microsoft-Foundry-and-the-AI-Toolkit,Python,
aitour26-BRK442-github-copilot-as-an-ai-agent-in-the-developer-workflow,Python,"Practical session demonstrating GitHub Copilot's agent-like behaviors, integrating deeply into engineering processes"
aitour26-BRK443-efficient-model-customization-with-microsoft-foundry,Jupyter Notebook,
aitour26-BRK444-advanced-retrieval-for-your-ai-apps-and-agents-on-azure,,"Resources for the AI Tour Talk on ""Advanced Retrieval for your AI Apps and Agents"" on Azure - slides, talk recording, demo recording, demo setup instructions."
aitour26-BRK445-building-enterprise-ready-ai-agents-with-microsoft-foundry,C#,
aitour26-BRK447-agentic-use-of-github-copilot-within-visual-studio,C#,
aitour26-BRK461-whats-new-in-microsoft-databases-empowering-ai-driven-app-dev,,
aitour26-BRK462-enable-agentic-ai-apps-with-a-unified-data-estate-in-microsoft-fabric,,
aitour26-BRK471-ai-tools-for-infrastructure-management,,
aitour26-BRK482-secure-govern-and-scale-your-ai-agents-with-azure-api-management,,
aitour26-LTG150-Microsoft-Agent-Framework-for-next-gen-multi-agent-solution,Python,
aitour26-LTG151-build-trustworthy-ai-with-systematic-evaluations-in-microsoft-foundry,Jupyter Notebook,"Learn to build trustworthy AI with systematic evaluations in Azure AI Foundry. The session covers quality, safety, agent and custom evaluators"
aitour26-LTG152-from-protocol-to-practice-build-and-use-your-first-mcp-server,Python,"Minimal Python MCP server demo for AI Tour: tracks expenses in CSV, exposes them as a resource, and runs in VS Code with GitHub Copilot Chat; includes docs and presenter guides."
aitour26-LTG153-automate-model-selection-with-microsoft-foundry-model-router,TypeScript,
aitour26-LTG154-breaking-down-the-ai-tour-advisor-agent,Python,
aitour26-LTG155-fast-data-transformation-in-fabric-with-onelake-and-the-data-wrangler,,
aitour26-LTG156-safeguard-agentic-ai-solutions-with-ai-red-teaming-agent,,
aitour26-LTG158-level-up-as-a-data-expert-with-ai-ready-databases-and-tools,,
aitour26-resource-center,,
aitour26-WRK523-copilot-ready-strategy-data-and-security,,
aitour26-WRK532-building-agentic-solutions-with-copilot-studio,Python,
aitour26-WRK540-unlock-your-agents-potential-with-model-context-protocol,Python,
aitour26-WRK541-real-world-code-migration-with-github-copilot-agent-mode,C#,
aitour26-WRK542-prototype-agents-with-the-ai-toolkit-and-model-context-protocol,Python,
aitour26-WRK560-modernize-your-data-estate-ms-fabric-azure-databricks-and-microsoft-foundry,,
aitour26-WRK570-improving-ops-with-azure-copilot-and-github-copilot,TypeScript,
AIVisualProvision,C#,Connect(); 2018 - AI Visual Provision Sample App 
AI_Agents_Hackathon,,A free virtual hackathon for building AI agents with Microsoft and Azure.
Ai_With_PGSQL,,ai with pgsql
ai_with_pgsqldb,Jupyter Notebook,
ajaxmin,C#,The Microsoft Ajax Minifier enables you to improve the performance of your Ajax applications by reducing the size of your Cascading Style Sheet and JavaScript files.
aka,,Doc page listing all public aka.ms links for Microsoft admin portals
Akal-Badi-ya-Bias,Python,"Official Codebase for ""Akal Badi ya Bias: An Exploratory Study of Gender Bias in Hindi Language Technology"" (published in FAccT 2024)"
Akoustos,Jupyter Notebook,Bioacoustics platform
AKS-Arc-Apps,PowerShell,Docs and scripts to simplify application deployment on AKS enabled by Arc
aks-dev-day,HTML,Labs and information for AKS Dev Day.
aks-ingress-contour-cert-manager-lets-encrypt,Shell,"A lab to setup Contour, Cert-Manager, and Let's Encrypt ingress on AKS"
aks-postgre-keyrotation,Shell,"This example project demonstrates how to handle secret rotation from a web application running in Azure Kubernetes Service, stores the secrets into KeyVault and then uses those secrets to access an Azure PostgreSQL instance."
AKSDeploymentTutorial,Jupyter Notebook,Tutorial on how to deploy Deep Learning models on GPU enabled Kubernetes cluster
aksworkshop,CSS,Azure Kubernetes Service (AKS) workshop website content
AL,PowerShell,Home of the Dynamics 365 Business Central AL Language extension for Visual Studio Code. Used to track issues regarding the latest version of the AL compiler and developer tools available in the Visual Studio Code Marketplace or as part of the AL Developer Preview builds for Dynamics 365 Business Central.
AL-Go,PowerShell,The plug-and-play DevOps solution for Business Central app development on GitHub
AL-Go-Actions,PowerShell,
AL-Go-AppSource,PowerShell,Template for Business Central AppSource projects. Click the link below to create a new repository.
AL-Go-PTE,PowerShell,Template for Business Central Per Tenant Extensions projects. Click the link below to create a new repository.
